customer_id,age,gender,ethnicity,current_grade,projected_grade,previous_sale,warm_lead,medium_lead,cold_lead
1056458338,58,Male,Hispanic,27.5605,21.51,0,0,0,0
1057620548,66,Male,Caucasian,6.41966,4.27,0,0,0,0
1057464100,66,Male,Hispanic,29.34893,13.5,0,0,0,0
1062674540,66,Female,African-American,1.33465,8.21,0,0,0,0
1069286115,39,Female,African-American,1.3213,19.61,0,0,0,0
1112461696,19,Male,Hispanic,7.97799,57.58,1,1,0,0
1120644406,48,Female,Caucasian,1.09252,29.67,0,0,0,1
1128388145,27,Male,Caucasian,51.29055,61.16,0,1,0,0
1132303586,25,Male,Caucasian,1.08951,52.43,0,1,0,0
1988526150,75,Female,Caucasian,14.36082,18.85,0,0,0,1
2140284150,41,Male,Other,3.19822,53.18,0,1,0,0
2328326391,80,Female,Caucasian,11.70487,7.89,0,0,0,0
2338637952,29,Female,Caucasian,5.24517,51.07,0,1,0,0
2662585201,61,Female,Caucasian,9.38258,7.31,0,0,0,0
2662585698,58,Male,Caucasian,10.06325,8.1,0,0,0,0
2663551118,53,Male,Hispanic,5.20151,26.65,0,0,0,1
2664585204,45,Male,Caucasian,0.80834,25.68,0,0,0,0
2664546896,71,Male,Caucasian,20.63367,7.7,0,0,0,0
2664547182,37,Male,Caucasian,5.9747,21.17,0,0,0,0
2683552116,53,Male,Caucasian,0.3866,15.77,0,0,0,0
2685627636,37,Female,Caucasian,3.83084,30.9,0,0,0,1
2685552757,42,Male,Hispanic,13.74688,41.07,0,0,1,0
2686540115,83,Female,Caucasian,12.70586,9.62,0,0,0,0
2688585231,44,Female,African-American,58.97813,6.75,0,0,0,0
2688585111,30,Female,Caucasian,1.79241,14.94,0,0,0,0
2688585906,69,Male,Caucasian,3.97725,12.28,0,0,0,0
2688615143,69,Female,Caucasian,18.77851,3.33,0,0,0,0
2690676144,61,Female,Caucasian,7.46069,10.64,0,0,0,0
2709542223,36,Male,Caucasian,1.79241,26.57,0,0,0,0
2866559883,30,Female,Caucasian,0.84349,42.12,0,0,1,0
2866585109,57,Male,Caucasian,1.05436,11.57,0,0,0,0
2866650206,26,Female,Caucasian,8.22144,40.37,0,0,1,0
2866559112,21,Female,Caucasian,1.40138,45.59,0,0,0,0
2866559775,50,Male,African-American,15.33511,19.64,0,0,0,1
2867585995,73,Male,Caucasian,14.78791,5.57,0,0,0,0
2867611562,42,Male,Other,99.99,22.13,0,0,0,1
2867597218,24,Male,Caucasian,99.99,40.98,0,0,1,0
2867559101,50,Female,Caucasian,3.91052,16.93,0,0,0,0
2965569125,26,Male,Caucasian,6.36627,42.03,0,0,0,0
2965656644,76,Female,Other,2.88192,5.35,0,0,0,0
2965569107,37,Female,Caucasian,0.66776,25.86,0,0,0,0
2966585614,27,Male,African-American,3.30993,50.19,0,0,0,1
2966569613,20,Female,Caucasian,4.25753,33.94,0,0,0,0
2966652417,73,Male,Caucasian,2.28445,9.72,0,0,0,0
2966620142,82,Female,Caucasian,11.74491,6.5,0,0,0,0
3077574118,37,Male,African-American,7.63419,30.08,0,0,0,0
3077640352,29,Male,Caucasian,99.99,67.21,0,1,0,0
3077574253,55,Female,Caucasian,2.53046,9.54,0,0,0,0
3077574786,22,Female,Caucasian,1.8627,39.27,0,0,1,0
3077574109,65,Female,Hispanic,1.05436,11.92,0,0,0,0
3091611162,73,Male,Caucasian,0.21087,9.35,0,0,0,0
3091576667,25,Male,Caucasian,3.97142,22.03,0,0,0,0
3091620908,54,Female,African-American,13.76023,28.49,0,0,0,0
3116578978,59,Female,Hispanic,6.29954,9.84,0,0,0,0
3116578150,46,Male,Caucasian,1.41473,33.75,0,0,0,0
3116578433,33,Female,Hispanic,3.7254,41.03,0,1,0,0
3116578979,61,Male,African-American,4.60404,13.44,0,0,0,0
3116600143,39,Female,Hispanic,16.30941,39.43,0,0,0,1
3116578128,38,Female,Caucasian,28.20113,12.68,0,0,0,0
3116578407,45,Male,Hispanic,14.49429,39.87,0,0,1,0
3116585928,40,Female,African-American,2.33564,40.52,0,0,1,0
3116578150,68,Female,Caucasian,3.83084,28.37,0,0,0,1
3116578109,45,Female,Caucasian,8.9288,27.22,0,0,0,0
3117620812,86,Female,Caucasian,10.78396,7.2,0,0,0,0
3141651182,27,Male,African-American,3.23337,48.82,0,1,0,0
3141580109,50,Male,African-American,99.99,17.58,0,0,0,0
3187585109,69,Male,Caucasian,1.51125,3.61,0,0,0,0
3187585155,26,Female,Hispanic,3.93628,33.03,0,0,0,0
3187585150,57,Male,Hispanic,13.58672,30.22,0,0,0,1
3187585150,55,Male,Caucasian,15.30842,26.78,0,0,0,1
3187585152,54,Female,Caucasian,4.112,16.88,0,0,0,0
3209659161,26,Female,African-American,8.39973,45.22,0,0,1,0
3209587118,64,Male,Caucasian,7.45081,2.65,0,0,0,0
3209649183,25,Female,African-American,8.03459,49.05,0,1,0,0
3209654396,31,Male,Caucasian,9.3025,42.5,0,0,0,0
3209587153,70,Male,Caucasian,26.4127,3.8,0,0,0,0
3260677256,72,Male,Hispanic,7.75431,12.72,0,0,0,0
3262593127,65,Male,Caucasian,4.00657,7.58,0,0,0,0
3266662163,53,Female,Hispanic,3.76371,14.82,0,0,0,0
3266649149,26,Male,Caucasian,1.09252,50.48,0,0,0,0
3279649161,64,Male,Caucasian,1.12465,13.12,0,0,0,0
3279595115,45,Male,Caucasian,1.79241,19.22,0,0,0,0
3287596930,31,Female,African-American,1.09441,27.57,0,0,0,0
3287596305,25,Female,Caucasian,7.90112,36,0,0,0,0
3287623671,62,Male,Other,15.28173,8.7,0,0,0,0
3296597471,67,Male,Caucasian,3.30366,6.37,0,0,0,0
3296597990,58,Female,Caucasian,10.64903,14.2,0,0,0,0
3296597109,56,Female,Caucasian,22.02171,5.46,0,0,0,0
3296598195,40,Female,Caucasian,2.38988,8.16,0,0,0,0
3301598815,70,Male,Caucasian,3.48343,12.65,0,0,0,0
3301611109,25,Other,Other,2.90953,38.79,0,0,0,0
3301598848,35,Male,Caucasian,20.54024,58.92,0,1,0,0
3301598525,69,Male,Caucasian,6.98021,9.73,0,0,0,0
